City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
mayumba,GA,-3.43,10.66,73.56,77,9,8.32,1595434211
altamont,US,42.21,-121.74,71.6,56,1,3.44,1595434075
liverpool,GB,53.41,-2.98,66.2,63,40,11.41,1595433644
rio grande,BR,-32.03,-52.1,75.2,73,100,2.24,1595434061
marawi,PH,8,124.29,78.01,89,78,4,1595434211
kotka,FI,60.47,26.95,63,59,20,12.75,1595434212
seoul,KR,37.57,126.98,71.6,94,90,1.66,1595433919
elizabeth city,US,36.29,-76.25,93,66,1,11.41,1595434212
aberdare,GB,51.71,-3.45,71.01,52,52,7,1595434212
carnarvon,AU,-24.87,113.63,64.4,100,0,9.17,1595434212
oum hadjer,TD,13.3,19.7,87.49,46,92,5.66,1595434212
saint-michel-des-saints,CA,46.68,-73.92,75.11,46,100,3,1595434213
itaporanga,BR,-7.3,-38.15,90.91,24,0,10.71,1595433967
yeppoon,AU,-23.13,150.73,59,93,100,5.82,1595434213
dalnerechensk,RU,45.93,133.72,65.95,87,63,2.19,1595434213
tuatapere,NZ,-46.13,167.68,39,83,91,3,1595434213
nizwa,OM,22.93,57.53,84.36,62,77,11.79,1595434213
marzuq,YE,14.4,46.47,84.16,53,6,7.36,1595434213
chapais,CA,49.78,-74.85,71.6,43,1,3.36,1595434178
buluang,PH,13.31,123.34,78.17,87,1,3.36,1595434214
yinchuan,CN,38.47,106.27,75.65,57,79,10.29,1595434214
lagoa,PT,39.05,-27.98,69.49,74,15,3.2,1595434214
ingham,US,42.6,-84.38,77,100,90,4.7,1595434214
lahan,NP,26.73,86.5,81.59,79,2,4.94,1595434214
mastic beach,US,40.77,-72.85,86,58,1,9.17,1595434215
namatanai,PG,-3.67,152.43,79.16,81,31,7.94,1595433983
creston,US,41.06,-94.36,75.2,73,1,5.82,1595434215
ratnagiri,IN,16.98,73.3,81.73,87,99,5.61,1595434215
luderitz,NA,-26.65,15.16,73.4,49,0,4.7,1595434215
saiki,JP,32.95,131.9,76.08,89,91,2.08,1595434216
huarmey,PE,-10.07,-78.15,65.79,70,61,10.04,1595434216
plettenberg bay,ZA,-34.05,23.37,59.67,79,0,4.79,1595434216
mus,TR,39,41.75,78.69,39,96,11.36,1595434216
hovin,NO,63.11,10.22,54,78,99,5.01,1595434216
san felipe,VE,10.34,-68.74,89.49,52,36,1.52,1595434216
sobolevo,RU,54.43,31.9,59.81,81,2,11.03,1595434217
vanimo,PG,-2.67,141.3,78.53,84,19,5.26,1595434217
kawanishi,JP,34.82,135.42,80.01,100,100,3.53,1595434217
springbok,ZA,-29.66,17.89,62.85,28,0,5.73,1595434217
birao,CF,10.28,22.79,73.17,91,98,10.31,1595434217
smithers,CA,54.78,-127.17,53.6,87,75,3.78,1595434201
cockburn town,TC,21.46,-71.14,84.15,74,18,19.22,1595433985
boden,SE,65.83,21.69,57.2,93,90,13.87,1595434218
banting,MY,2.82,101.5,78.8,94,20,3.36,1595434218
meulaboh,ID,4.14,96.13,77.59,87,100,4.92,1595434027
honiara,SB,-9.43,159.95,75.2,94,20,7.18,1595433948
beausejour,CA,50.06,-96.52,69.01,64,75,9.17,1595434218
seinajoki,FI,62.79,22.83,57.99,76,90,8.05,1595434218
kerchevskiy,RU,59.95,56.29,68.47,68,96,5.77,1595434218
andilamena,MG,-17.02,48.58,55.04,86,61,13.76,1595434147
bonavista,CA,48.65,-53.11,66.29,58,89,9.24,1595434113
shingu,JP,33.73,135.98,73.76,91,100,5.06,1595434219
orlik,RU,52.52,99.83,55.08,81,86,2.08,1595434219
westport,US,41.14,-73.36,86,74,40,12.75,1595434219
byron bay,AU,-28.65,153.62,55.4,82,90,4.7,1595434220
diego de almagro,CL,-26.37,-70.05,59.72,41,47,4.79,1595434220
isangel,VU,-19.55,169.27,68,68,1,3.36,1595434220
stykkisholmur,IS,65.08,-22.73,50.86,66,44,7.78,1595434220
kodinsk,RU,58.69,99.18,56.01,85,5,0.96,1595434220
leh,IN,34.17,77.58,60.08,30,10,5.44,1595434221
muros,ES,42.78,-9.06,77,62,0,14,1595434221
shu,KZ,43.6,73.76,79.25,28,7,5.48,1595434221
gamba,GA,-2.65,10,75.07,74,1,9.93,1595434221
ca mau,VN,9.18,105.15,79.2,87,86,2.19,1595434221
sitka,US,57.05,-135.33,55.4,93,90,1.3,1595434176
goba,ET,7.02,39.98,52.83,92,62,2.35,1595434222
paso de los toros,UY,-32.82,-56.52,68,88,90,5.82,1595434222
soanierana ivongo,MG,-16.92,49.58,66.61,77,35,11.21,1595434222
muzaffarabad,PK,34.37,73.47,74.88,57,0,3.33,1595434223
opuwo,NA,-18.06,13.84,76.12,18,0,8.63,1595434223
bisira,PA,8.52,-81.71,68.77,94,84,1.23,1595434223
playa vicente,MX,17.83,-95.82,83.57,77,100,2.62,1595434223
cobija,BO,-11.03,-68.77,87.8,62,20,8.05,1595434223
palu,ID,-0.89,119.87,76.17,81,67,1.97,1595434224
thunder bay,CA,48.4,-89.32,62.6,77,75,2.24,1595434158
labrea,BR,-7.26,-64.8,95.05,30,87,2.37,1595434224
evensk,RU,61.95,159.23,48.31,82,20,1.43,1595434224
riyadh,SA,24.69,46.72,107.6,14,4,5.82,1595434208
carutapera,BR,-1.2,-46.02,88,56,1,9.82,1595434014
matagami,CA,49.75,-77.63,71.6,46,1,2.51,1595434225
magistralnyy,RU,56.17,107.45,59.43,89,67,3.24,1595434225
nhamunda,BR,-2.19,-56.71,93.56,42,36,5.73,1595434225
tautira,PF,-17.73,-149.15,73.4,78,75,3.36,1595434225
ilhabela,BR,-23.78,-45.36,80.69,47,1,3.49,1595434186
tenango,MX,18.65,-98.18,71.01,63,40,4.7,1595434226
manokwari,ID,-0.87,134.08,80.15,72,23,2.89,1595434008
varhaug,NO,58.61,5.65,59,67,40,9.17,1595434226
antofagasta,CL,-23.65,-70.4,59,67,90,10.29,1595434091
beyneu,KZ,45.32,55.2,85.96,32,19,11.34,1595434227
qui nhon,VN,13.77,109.23,80.6,84,34,6.2,1595434227
margate,GB,51.38,1.39,73,51,30,1.99,1595433995
grajau,BR,-5.82,-46.14,93.25,32,46,8.25,1595434024
kuandian,CN,40.73,124.78,68.32,89,16,1.99,1595434228
chumikan,RU,54.72,135.31,50.81,92,100,6.53,1595433981
auki,SB,-8.77,160.7,77.43,85,100,4.76,1595434228
lethbridge,CA,49.7,-112.82,71.6,60,20,8.05,1595433936
coquimbo,CL,-29.95,-71.34,57.2,67,75,2.24,1595434228
kota belud,MY,6.35,116.43,78.8,94,20,6.93,1595434229
valera,VE,9.32,-70.6,84.52,55,98,3.44,1595434229
nishihara,JP,26.18,127.76,82.4,88,20,4.7,1595434229
dharchula,IN,29.85,80.53,70.11,70,99,1.52,1595434229
yar-sale,RU,66.83,70.83,53.2,67,3,6.13,1595433978
araouane,ML,18.9,-3.53,103.95,20,89,7.34,1595434230
durban,ZA,-29.86,31.03,68,68,0,6.93,1595434230
abonnema,NG,4.71,6.79,84.2,74,75,9.17,1595434230
damaturu,NG,11.75,11.96,90.45,43,99,1.92,1595434230
karpogory,RU,64,44.45,70.09,66,75,9.95,1595434230
zverinogolovskoye,RU,54.46,64.85,64.49,76,86,8.7,1595434231
poronaysk,RU,49.22,143.12,51.84,92,87,2.98,1595434231
kingman,US,35.19,-114.05,90,20,1,10.29,1595434231
alizai,PK,33.54,70.35,83.21,49,1,5.03,1595434231
envira,BR,-7.3,-70.22,91.27,41,23,3,1595434232
santa teresa,VE,10.23,-66.66,87.8,66,40,8.05,1595434232
myre,NO,69.1,15.95,51.8,93,90,10.29,1595434232
kerman,IR,30.28,57.08,93.2,8,0,9.17,1595434232
guadalupe y calvo,MX,26.1,-106.97,67.42,73,64,1.43,1595434232
semibratovo,RU,57.3,39.54,64.4,93,75,11.18,1595434233
capao bonito,BR,-24.01,-48.35,78.22,42,0,4.27,1595434233
churapcha,RU,62,132.43,54.23,81,88,7.54,1595434233
vestmannaeyjar,IS,63.44,-20.27,53.6,87,40,8.05,1595433947
pochutla,MX,15.74,-96.47,86,66,75,2.68,1595434234
bavly,RU,54.39,53.26,65.1,92,100,8.72,1595434234
inongo,CD,-1.95,18.27,78.04,56,89,0.78,1595433979
pangai,TO,-19.8,-174.35,73.74,62,3,12.77,1595433971
samana,DO,19.21,-69.34,78.8,83,75,4.7,1595433996
north battleford,CA,52.78,-108.28,68,77,1,8.05,1595434116
lufkin,US,31.34,-94.73,87.8,66,75,8.05,1595434235
quatre cocos,MU,-20.21,57.76,66.2,82,75,17.22,1595434236
omsukchan,RU,62.53,155.8,51.21,50,44,6.44,1595434236
ati,TD,13.22,18.34,90.95,46,100,6.49,1595434236
kalabo,ZM,-14.97,22.68,70.72,24,0,2.77,1595434236
berdigestyakh,RU,62.1,126.7,56.52,91,13,3.89,1595434002
kasongo,CD,-4.45,26.67,86.81,30,67,1.48,1595434236
gashua,NG,12.87,11.05,94.77,33,99,1.1,1595434237
sumenep,ID,-7.02,113.87,79.29,81,74,12.46,1595434237
smidovich,RU,48.6,133.82,66.45,89,25,2.3,1595434237
khipro,PK,25.83,69.38,96.3,42,57,17.74,1595434237
uwajima,JP,33.22,132.56,76.32,87,97,2.37,1595434237
bhakkar,PK,31.63,71.07,96.91,31,0,9.84,1595434238
nemuro,JP,43.32,145.57,59.77,97,100,14.34,1595433983
virginia beach,US,36.85,-75.98,93.2,49,20,8.05,1595434238
valparaiso,CL,-33.04,-71.63,55.4,71,20,2.06,1595434238
pringsewu,ID,-5.36,104.97,73.17,93,99,1.21,1595433971
babolna,HU,47.64,17.98,82.4,45,58,8.05,1595434238
mandalgovi,MN,45.76,106.27,75.38,37,100,5.26,1595434003
saint pete beach,US,27.73,-82.74,87.01,83,20,11.41,1595434239
flin flon,CA,54.77,-101.86,69.8,77,40,6.93,1595434239
sinjar,IQ,36.32,41.88,98.37,9,0,7.07,1595434239
narovchat,RU,53.88,43.69,68.07,81,63,6.8,1595434239
bermejo,AR,-32.88,-68.8,44.6,75,75,8.05,1595434240
vuktyl,RU,63.86,57.31,72.12,54,0,7.61,1595434240
chihuahua,MX,28.5,-106,78.8,47,75,4.34,1595434240
karwar,IN,14.8,74.13,80.62,87,100,4.47,1595434240
